src/backup/database-metadata.ts	anti-slop(require-safety-comment-for-type-assertion)	27	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
src/backup/database-metadata.ts	anti-slop(require-safety-comment-for-type-assertion)	36	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
src/backup/database-metadata.ts	anti-slop(no-runtime-typeof)	107	A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value.
src/backup/database-metadata.ts	anti-slop(no-runtime-typeof)	110	A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value.
src/db/storage-snapshot.ts	anti-slop(require-safety-comment-for-type-assertion)	102	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
src/cli/commands/memory/recall-basic-handlers.ts	anti-slop-effect(no-service-constructor-imports)	8	Do not import Effect service constructor "makeRecallRepository" into runtime code. Import the owning Layer, yield the contextual service, and allow its requirements to propagate to the composition root.
src/db/migrate.ts	anti-slop(require-safety-comment-for-type-assertion)	94	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
src/db/migrate.ts	anti-slop(require-safety-comment-for-type-assertion)	113	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
src/task/tasks.repository.ts	eslint(no-unused-vars)	17	Type 'ListTaskFilters' is imported but never used.
src/task/tasks.repository.ts	eslint(no-unused-vars)	18	Type 'ListTasksResult' is imported but never used.
src/task/tasks.repository.list.ts	anti-slop(require-safety-comment-for-type-assertion)	40	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
src/task/tasks.repository.list.ts	anti-slop(no-runtime-typeof)	46	A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value.
src/task/tasks.repository.list.ts	anti-slop(no-known-value-widening)	106	The explicit anonymous object type on return value of `resolve_list_sort` discards known type evidence. Keep inference, validate with `satisfies`, or use a named owner contract.
src/memory/repository/consolidation-repository.ts	anti-slop(require-safety-comment-for-type-assertion)	124	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
src/memory/repository/consolidation-repository.ts	anti-slop(require-safety-comment-for-type-assertion)	139	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
src/memory/repository/consolidation-repository.ts	anti-slop(require-safety-comment-for-type-assertion)	172	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
src/memory/repository/recall-repository.ts	anti-slop(require-safety-comment-for-type-assertion)	72	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
src/memory/repository/recall-repository.ts	anti-slop(require-safety-comment-for-type-assertion)	96	This type assertion has no `SAFETY:` justification. State the checked invariant immediately before the assertion or its containing statement.
